Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_3034_1x20mm,1,Battery,
"C1, C2, C3",0805,3,0.1uF,
"C10, C8, C9",0805,3,10uF,
"C4, C5",0805,2,22pF,
"C6, C7",0805,2,1uF,
D1,0805,1,VOLTAGE,
D2,0805,1,CURRENT,
D3,0805,1,RESISTANCE,
D4,0805,1,NEGATIVE,
D5,0805,1,Green,
"F1, F2",1206,2,500mA,
F3,1206,1,1A,
J1,PinHeader_1x06_P2.54mm_Horizontal,1,FTDI Basic,
J2,PinHeader_2x03_P2.54mm_Horizontal,1,ICSP,
J3,LCD-S401M16KR-81359,1,DISPLAY,
J4,PinHeader_1x04_P2.54mm_Horizontal,1,TEST LEAD CONNECTIONS,
"R1, R3",0805,2,9.1MEG,
R10,0805,1,390,
R11,0805,1,10k,
"R2, R4",0805,2,1MEG,
R5,2512,1,0.05,
"R6, R7, R8, R9",0805,4,1k,
"SW1, SW2",SMT_FS,2,PTS526 SK15 SMTR2 LFS,
SW3,SW_JS102011SAQN,1,SW_DPDT_x2,
U1,SOIC-14_3.9x8.7mm_P1.27mm,1,LM324,
U2,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,
U3,SSOP-A32,1,BU91796FS-ME2,
U4,SOT95P280X145-6N,1,LM2664M6,
Y1,Crystal_HC49-U_Vertical,1,16MHz,
